基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
021559,格林30天滚动持有债券A,债券型-长债,GL30TGDCYZQA,GELIN30TIANGUNDONGCHIYOUZHAIQUANA,
021560,格林30天滚动持有债券C,债券型-长债,GL30TGDCYZQC,GELIN30TIANGUNDONGCHIYOUZHAIQUANC,
021561,天弘中证央企红利50指数发起A,指数型-股票,THZZYQHL50ZSFQA,TIANHONGZHONGZHENGYANGQIHONGLI50ZHISHUFAQIA,
021562,天弘中证央企红利50指数发起C,指数型-股票,THZZYQHL50ZSFQC,TIANHONGZHONGZHENGYANGQIHONGLI50ZHISHUFAQIC,
021563,富安达上清所0-3年政金债指数A,指数型-固收,FADSQS03NZJZZSA,FUANDASHANGQINGSUO03NIANZHENGJINZHAIZHISHUA,
021564,富安达上清所0-3年政金债指数C,指数型-固收,FADSQS03NZJZZSC,FUANDASHANGQINGSUO03NIANZHENGJINZHAIZHISHUC,
021565,南方中债0-3年农发行债券指数A,指数型-固收,NFZZ03NNFHZQZSA,NANFANGZHONGZHAI03NIANNONGFAHANGZHAIQUANZHISHUA,
021566,南方中债0-3年农发行债券指数C,指数型-固收,NFZZ03NNFHZQZSC,NANFANGZHONGZHAI03NIANNONGFAHANGZHAIQUANZHISHUC,
021567,银河CFETS0-3年期政金债指数A,指数型-固收,YHCFETS03NQZJZZSA,YINHECFETS03NIANQIZHENGJINZHAIZHISHUA,
021568,银河CFETS0-3年期政金债指数C,指数型-固收,YHCFETS03NQZJZZSC,YINHECFETS03NIANQIZHENGJINZHAIZHISHUC,
021569,博时裕诚纯债债券C,债券型-长债,BSYCCZZQC,BOSHIYUCHENGCHUNZHAIZHAIQUANC,
021570,华夏红利量化选股股票A,股票型,HXHLLHXGGPA,HUAXIAHONGLILIANGHUAXUANGUGUPIAOA,
021571,华夏红利量化选股股票C,股票型,HXHLLHXGGPC,HUAXIAHONGLILIANGHUAXUANGUGUPIAOC,
021574,平安元恒90天持有债券A,债券型-长债,PAYH90TCYZQA,PINGANYUANHENG90TIANCHIYOUZHAIQUANA,
021575,平安元恒90天持有债券C,债券型-长债,PAYH90TCYZQC,PINGANYUANHENG90TIANCHIYOUZHAIQUANC,
021576,平安研究智选混合A,混合型-偏股,PAYJZXHHA,PINGANYANJIUZHIXUANHUNHEA,
021577,平安研究智选混合C,混合型-偏股,PAYJZXHHC,PINGANYANJIUZHIXUANHUNHEC,
021578,建信鑫益90天持有期债券A,债券型-长债,JXXY90TCYQZQA,JIANXINXINYI90TIANCHIYOUQIZHAIQUANA,
021579,建信鑫益90天持有期债券C,债券型-长债,JXXY90TCYQZQC,JIANXINXINYI90TIANCHIYOUQIZHAIQUANC,
021580,华夏人工智能ETF联接D,指数型-股票,HXRGZNETFLJD,HUAXIARENGONGZHINENGETFLIANJIED,
021581,贝莱德和悦利率债A,债券型-长债,BLDHYLLZA,BEILAIDEHEYUELILVZHAIA,
021582,贝莱德和悦利率债C,债券型-长债,BLDHYLLZC,BEILAIDEHEYUELILVZHAIC,
021583,中欧中证港股通央企红利指数发起(QDII)A,指数型-海外股票,ZOZZGGTYQHLZSFQQDIIA,ZHONGOUZHONGZHENGGANGGUTONGYANGQIHONGLIZHISHUFAQIQDIIA,
021584,中欧中证港股通央企红利指数发起(QDII)C,指数型-海外股票,ZOZZGGTYQHLZSFQQDIIC,ZHONGOUZHONGZHENGGANGGUTONGYANGQIHONGLIZHISHUFAQIQDIIC,
021587,永赢润益债券D,债券型-长债,YYRYZQD,YONGYINGRUNYIZHAIQUAND,
021588,广发景利纯债C,债券型-长债,GFJLCZC,GUANGFAJINGLICHUNZHAIC,
