基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,3.08%,1,9
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,2.68%,1,10
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,5.67%,1,2
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,GLW,康宁,扩展海外AI,光纤/材料,3.16%,1,8
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,3.08%,1,9
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,2.68%,1,10
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,5.67%,1,2
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,GLW,康宁,扩展海外AI,光纤/材料,3.16%,1,8
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,3.08%,1,9
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,2.68%,1,10
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,5.67%,1,2
